Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-10 19-45-51,lstm_stack,pouring,9,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-46-14,lstm_stack,pouring,10,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-46-37,lstm_stack,pouring,11,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 19-47-00,lstm_stack,pouring,12,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 21-11-57,lstm_stack,pouring,13,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 21-12-41,lstm_stack,pouring,14,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 21-13-24,lstm_stack,pouring,15,1,,,1,1,A brief fast jerk at beginning but smooth afterwards
2025-09-10 21-14-50,s5,pouring,0,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-15-45,s5,pouring,1,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-16-31,s5,pouring,2,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-17-18,s5,pouring,3,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-18-03,s5,pouring,4,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-18-49,s5,pouring,5,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-19-34,s5,pouring,6,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-20-19,s5,pouring,7,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-21-03,s5,pouring,8,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-21-49,s5,pouring,9,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-22-34,s5,pouring,10,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-23-19,s5,pouring,11,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-24-12,s5,pouring,12,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-25-04,s5,pouring,13,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-39-09,s5,pouring,14,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-40-01,s5,pouring,15,1,,,1,1,Often a bit of shaking at beginning
2025-09-10 21-41-34,transformer_attn,pouring,0,1,,,1,1,Looks pretty smooth
2025-09-10 21-42-15,transformer_attn,pouring,1,1,,,1,1,Looks pretty smooth
2025-09-10 21-42-55,transformer_attn,pouring,2,1,,,1,1,Looks pretty smooth
2025-09-10 21-43-36,transformer_attn,pouring,3,1,,,1,1,Looks pretty smooth
2025-09-10 21-44-19,transformer_attn,pouring,4,1,,,1,1,Looks pretty smooth
2025-09-10 21-45-00,transformer_attn,pouring,5,0,1,,1,1,Looks pretty smooth
2025-09-10 21-46-25,transformer_attn,pouring,6,0,1,,1,1,Looks pretty smooth
2025-09-10 21-47-50,transformer_attn,pouring,7,1,,,1,1,Looks pretty smooth
2025-09-10 21-48-32,transformer_attn,pouring,8,1,,,1,1,Looks pretty smooth
